r2AssetId,r2PublicUrl,originalFilename,videoId,languageId,edition,version,missingMuxVideoId,muxStatus,muxErrorMessage
07e3b4f3-4e40-4827-97d2-5e7e35794f1f,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/8188/videos/60680ae3-c69b-4421-89e5-70774bdb8029/8188_1_wl60-0-0.mp4,1_wl60-0-0---WL60---8188---34842---0---0.mp4,1_wl60-0-0,8188,wl60,34842,true,,
fee096ce-525c-4a5a-a00b-6b118e3e8179,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/111677/videos/bcd84bc1-55a2-4900-8b7e-ab95e6257ff9/111677_1_wl60-0-0.mp4,1_wl60-0-0---WL60---111677---34770---0---0.mp4,1_wl60-0-0,111677,wl60,34770,true,,
1e46f07d-5706-4354-9c34-2f9a835713e0,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/140169/videos/329c0dbf-67a5-4c2b-8d3f-30f8d66c1020/140169_1_wl60-0-0.mp4,1_wl60-0-0---WL60---140169---34608---0---0.mp4,1_wl60-0-0,140169,wl60,34608,true,,
4762b803-885e-4e91-a1d4-f46d6602e1c3,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/5398/videos/480fd4df-fb3a-478d-855b-be51a1891f8a/5398_1_wl60-0-0.mp4,1_wl60-0-0---WL60---5398---34591---0---0.mp4,1_wl60-0-0,5398,wl60,34591,true,,
98e99f0d-8212-498a-92c2-76e3c121963d,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/98137/videos/1c31bbc0-04c6-4410-ad76-59d1ecb0f43a/98137_1_wl60-0-0.mp4,1_wl60-0-0---WL60---98137---34287---0---0.mp4,1_wl60-0-0,98137,wl60,34287,true,,
659313ad-4237-4182-9dd1-36160ea975d8,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/99460/videos/00a2f35f-ed01-4774-80ba-2d2e3b2f1a84/99460_1_wl60-0-0.mp4,1_wl60-0-0---WL60---99460---34450---0---0.mp4,1_wl60-0-0,99460,wl60,34450,true,,
b16bca7d-7321-46c2-b763-d797c82245e1,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/1280/videos/ac236f98-e9ca-42ee-937a-b250f7f3ee1f/1280_1_wl60-0-0.mp4,1_wl60-0-0---WL60---1280---34217---0---0.mp4,1_wl60-0-0,1280,wl60,34217,true,,
4497c3a5-867b-472b-8251-e9c20982b9d0,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/184811/videos/e6c8d3c6-9f2a-4230-9b17-0fe7a78e36dc/184811_1_wl60-0-0.mp4,1_wl60-0-0---WL60---184811---34193---0---0.mp4,1_wl60-0-0,184811,wl60,34193,true,,
9093fb60-25d1-40d3-b131-5027d0e65b96,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/10536/videos/f5ec501f-2a29-4ae4-8558-f77c12bd6302/10536_1_wl60-0-0.mp4,1_wl60-0-0---WL60---10536---34192---0---0.mp4,1_wl60-0-0,10536,wl60,34192,true,,
a0e05959-e9ef-40ce-8f11-f14daf57424c,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/184810/videos/43de6c7f-a1fb-4737-9eec-dce086516a37/184810_1_wl60-0-0.mp4,1_wl60-0-0---WL60---184810---34191---0---0.mp4,1_wl60-0-0,184810,wl60,34191,true,,
45dee248-f94c-4b39-8c04-49aa2d4520ef,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/53430/videos/536c876c-0f83-44e2-b69a-ce7e485739df/53430_1_wl60-0-0.mp4,1_wl60-0-0---WL60---53430---34335---0---0.mp4,1_wl60-0-0,53430,wl60,34335,true,,
d0d6a28d-5057-4c0f-9b93-29c32ade54e6,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/177210/videos/63c00148-6f0f-4616-9045-e5a9b98c6506/177210_1_wl60-0-0.mp4,1_wl60-0-0---WL60---177210---34143---0---0.mp4,1_wl60-0-0,177210,wl60,34143,true,,
9c7cf71a-afc1-4014-b4c1-a801dc65dad8,https://api-media-core.jesusfilm.org/1_wl60-0-0/variants/184662/videos/095f51c3-6c18-49ce-9951-25c2e9234c97/184662_1_wl60-0-0.mp4,1_wl60-0-0---WL60---184662---34107---0---0.mp4,1_wl60-0-0,184662,wl60,34107,true,,
