Film Name,Language ID,Language BCP47,Version,ReEncodeStarted,Total Present,Total Missing,Missing Video IDs
JESUS Film,14201,hay,491,Y,62,0,
JESUS Film,6930,he,494,Y,62,0,
JESUS Film,14192,heh,496,Y,62,0,
JESUS Film,15256,nix,497,Y,62,0,
JESUS Film,19738,hil,499,Y,62,0,
JESUS Film,184504,lic,505,Y,62,0,
JESUS Film,4012,mww,506,Y,62,0,
JESUS Film,140948,,508,Y,62,0,
JESUS Film,1189,hoc,509,Y,62,0,
JESUS Film,19747,hre,511,Y,62,0,
JESUS Film,8265,hus-MX-SLP,512,Y,62,0,
JESUS Film,8272,hus,513,Y,62,0,
JESUS Film,8266,huv,514,Y,62,0,
JESUS Film,8277,hch,516,Y,62,0,
JESUS Film,12053,hui,517,Y,62,0,
JESUS Film,15551,,518,Y,62,0,
JESUS Film,1107,hu,519,Y,62,0,
JESUS Film,12747,ibl,520,Y,62,0,
JESUS Film,12750,ibg,522,Y,62,0,
JESUS Film,9811,ibb,524,Y,62,0,
JESUS Film,105534,ida,526,Y,62,0,
JESUS Film,1338,ife,528,Y,62,0,
JESUS Film,12743,ifa,529,Y,62,0,
JESUS Film,19759,ilb,534,Y,62,0,
JESUS Film,12723,ilo,536,Y,62,0,
JESUS Film,18555,inh,542,Y,62,0,
JESUS Film,12657,loc,543,Y,62,0,
JESUS Film,3076,ike,545,Y,62,0,
JESUS Film,21199,kl,546,Y,62,0,
JESUS Film,14187,irk,547,Y,62,0,
JESUS Film,23326,yeu,548,Y,62,0,
JESUS Film,9699,iso,549,Y,62,0,
JESUS Film,20717,itv,552,Y,62,0,
JESUS Film,5415,jac,556,Y,62,0,
JESUS Film,185332,,559,Y,62,0,
