referenceId,videoId,languageId,name,updatedAt,groupMemberVideoIds,videoVariantExists,muxVideoIdExists,isFeatureMissing,isAnyClipMissing
WESS_13562-cl-0-0_1636642620,1_cl-0-0,13562,The Story of Jesus for Children,2021-11-11T18:42:47.283Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1370-cl-0-0_1439250301,1_cl-0-0,1370,The Story of JESUS for Children,2020-03-20T23:20:43.642Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_138284-cl1301-0-0_1520448402,1_cl-0-0,138284,StoryClubs: Birth of Jesus,2020-01-18T02:37:11.731Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_139081-24862-cl-0-0_1337741101,1_cl-0-0,139081,The Story of JESUS for Children,2020-03-21T00:02:20.502Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_139082-28507-cl-0-0_1337741402,1_cl-0-0,139082,The Story of JESUS for Children,2020-03-21T00:14:13.530Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_139114-cl-0-0_1544541793,1_cl-0-0,139114,The Story of JESUS for Children,2020-01-18T01:50:21.980Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_14278-cl-0-0_1452116701,1_cl-0-0,14278,The Story of JESUS for Children,2020-03-20T22:59:19.404Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_143789-cl-0-0_1452122703,1_cl-0-0,143789,The Story of JESUS for Children,2020-03-20T22:20:05.840Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1444-cl-0-0_1438880103,1_cl-0-0,1444,The Story of JESUS for Children,2020-03-20T22:22:21.649Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_14509-cl-0-0_1439325902,1_cl-0-0,14509,The Story of JESUS for Children,2020-03-20T22:22:16.153Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1479-cl-0-0_1452130501,1_cl-0-0,1479,The Story of JESUS for Children,2020-03-20T22:20:01.156Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_153550-cl-0-0_1483552492,1_cl-0-0,153550,The Story of JESUS for Children,2020-03-20T21:56:09.439Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_16639-cl-0-0_1439231703,1_cl-0-0,16639,The Story of JESUS for Children,2020-03-20T23:20:44.878Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_176838-cl1301-0-0_1595426819,1_cl-0-0,176838,StoryClubs: Birth of Jesus,2020-07-22T14:42:42.229Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_178043-cl-0-0_1556823207,1_cl-0-0,178043,The Story of JESUS for Children,2019-06-19T14:22:21.331Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_18259-cl-0-0_1439249101,1_cl-0-0,18259,The Story of JESUS for Children,2020-03-20T22:22:24.243Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_18321-cl-0-0_1439228102,1_cl-0-0,18321,The Story of JESUS for Children,2020-03-20T22:40:27.587Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_184479-cl-0-0_1452117302,1_cl-0-0,184479,The Story of JESUS for Children,2020-03-20T22:38:14.959Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_18450-cl-0-0_1438888502,1_cl-0-0,18450,The Story of JESUS for Children,2020-03-20T23:16:04.528Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_184500-cl-0-0_1744085167,1_cl-0-0,184500,The Story of Jesus for Children,2025-04-08T14:55:15.155Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_184528-cl-0-0_1463169453,1_cl-0-0,184528,The Story of JESUS for Children,2020-03-20T22:57:01.186Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_184662-cl-0-0_1554911623,1_cl-0-0,184662,The Story of JESUS for Children,2019-06-19T20:23:33.496Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_184701-cl1310-0-0_1522872643,1_cl-0-0,184701,StoryClubs: A Widow's Offering,2020-01-18T00:16:54.709Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_184854-cl1309-0-0_1529514030,1_cl-0-0,184854,StoryClubs: Jesus and Zacchaeus,2020-01-18T02:41:42.014Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_185021-cl1308-0-0_1643903492,1_cl-0-0,185021,StoryClubs: Healing Bartimaeus,2022-02-03T16:41:26.466Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_185199-cl1307-0-0_1649362190,1_cl-0-0,185199,StoryClubs: Jesus Feeds 5000,2022-04-07T20:41:22.490Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_18521-cl-0-0_1439239502,1_cl-0-0,18521,The Story of JESUS for Children,2020-03-20T22:02:06.361Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_185210-cl-0-0_1699734401,1_cl-0-0,185210,The Story of Jesus for Children,2023-11-12T15:29:20.662Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_185221-cl-0-0_1650558494,1_cl-0-0,185221,The Story of Jesus for Children,2022-04-21T16:55:20.668Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_18606-cl-0-0_1439328902,1_cl-0-0,18606,The Story of JESUS for Children,2020-03-20T22:22:15.602Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1924-cl-0-0_1439230503,1_cl-0-0,1924,The Story of JESUS for Children,2020-03-20T22:40:22.584Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1927-cl-0-0_1439244901,1_cl-0-0,1927,The Story of JESUS for Children,2020-03-20T23:20:41.867Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1935-cl-0-0_1438962902,1_cl-0-0,1935,The Story of JESUS for Children,2020-03-20T23:16:53.731Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1942-30509-ec-0-0_1338012602,1_cl-0-0,1942,The Story of JESUS for Children,2020-03-21T00:01:50.051Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
WESS_1953-cl-0-0_1452124502,1_cl-0-0,1953,The Story of JESUS for Children,2020-03-20T22:20:06.101Z,1_cl-0-0|1_cl1301-0-0|1_cl1302-0-0|1_cl1303-0-0|1_cl1304-0-0|1_cl1305-0-0|1_cl1306-0-0|1_cl1307-0-0|1_cl1308-0-0|1_cl1309-0-0|1_cl1310-0-0|1_cl1311-0-0|1_cl1312-0-0|1_cl1313-0-0,true,true,true,false
